Problem,Solution
ninety three divided by forty one,two point two seven
fifteen times sixty,nine hundred
ninety seven divided by twenty six,three point seven three
five plus sixty nine,seventy four
twenty five minus six,nineteen
fifty six plus seventy six,one hundred and thirty two
forty three plus nineteen,sixty two
sixty four minus fifty five,nine
ninety nine plus eighty one,one hundred and eighty
ninety four times seventy,six thousand five hundred and eighty
ninety five divided by thirty seven,two point five seven
thirty two minus ninety eight,minus sixty six
ninety four times five,four hundred and seventy
sixty five minus fifty four,eleven
eight plus eight,sixteen
sixty plus seventy two,one hundred and thirty two
two plus forty,forty two
eighty five times ninety three,seven thousand nine hundred and five
seventy eight plus five,eighty three
thirty eight plus ninety eight,one hundred and thirty six
seventy eight minus four,seventy four
forty five minus eight,thirty seven
ninety divided by three,thirty
twenty seven plus thirty nine,sixty six
sixty four minus ninety five,minus thirty one
eighty two divided by two,forty one
eighty six minus seventy one,fifteen
thirty three plus seventy two,one hundred and five
five minus eighty four,minus seventy nine
fifty five times sixty,three thousand three hundred
twenty minus fifty one,minus thirty one
thirty six divided by seven,five point one four
ten divided by thirty seven,zero point two seven
eighty six divided by twenty nine,two point nine seven
thirty eight plus thirty three,seventy one
thirty eight times fifty three,two thousand and fourteen
sixty two divided by seven,eight point eight six
ninety two times forty five,four thousand one hundred and forty
eighty two divided by fifty seven,one point four four
twenty eight plus thirty,fifty eight
sixty one minus ninety,minus twenty nine
twenty two plus sixty five,eighty seven
two plus thirty nine,forty one
sixty five times ninety two,five thousand nine hundred and eighty
forty two divided by twenty eight,one point five
seventy eight plus forty five,one hundred and twenty three
eighty five plus eighty one,one hundred and sixty six
fifty four divided by sixty five,zero point eight three
two divided by seventy four,zero point zero three
twenty three plus thirty six,fifty nine
ninety seven minus seventy three,twenty four
forty four divided by eighty three,zero point five three
fifty two times twenty one,one thousand and ninety two
twenty nine divided by forty three,zero point six seven
sixteen times ninety two,one thousand four hundred and seventy two
thirty eight minus one hundred,minus sixty two
twenty seven plus forty six,seventy three
twenty two times seventy nine,one thousand seven hundred and thirty eight
ninety four minus fifty,forty four
forty four plus fifteen,fifty nine
seventy five times seven,five hundred and twenty five
eighty seven plus two,eighty nine
eighty three plus five,eighty eight
nineteen plus fifty seven,seventy six
ninety one times thirty three,three thousand and three
forty two times fourteen,five hundred and eighty eight
fifty eight divided by forty six,one point two six
thirty one divided by seventy three,zero point four two
seventy three divided by ninety six,zero point seven six
thirteen minus ninety four,minus eighty one
thirty two divided by eighty,zero point four
fifty three divided by ninety nine,zero point five four
seventeen times eight,one hundred and thirty six
fifty one times sixty two,three thousand one hundred and sixty two
sixty three plus twelve,seventy five
twenty plus seventeen,thirty seven
eight divided by sixty nine,zero point one two
eleven times eighty four,nine hundred and twenty four
eighty three divided by thirty seven,two point two four
forty plus eighty,one hundred and twenty
ninety four minus seventy nine,fifteen
thirty five plus forty five,eighty
twenty six divided by seventy four,zero point three five
twenty three divided by eleven,two point zero nine
eighty two plus fifty five,one hundred and thirty seven
fifty two minus ninety five,minus forty three
nine divided by seventy nine,zero point one one
three times ninety five,two hundred and eighty five
twenty one minus twenty four,minus three
thirty eight divided by ninety two,zero point four one
seventy plus forty five,one hundred and fifteen
eighty plus seventy six,one hundred and fifty six
seventy five minus thirty three,forty two
ten divided by forty,zero point two five
forty one minus ninety one,minus fifty
twenty seven plus eighty nine,one hundred and sixteen
twenty one times two,forty two
fifty one divided by twenty seven,one point eight nine
thirty four times eighty,two thousand seven hundred and twenty
seventy three divided by ninety three,zero point seven eight
ninety four times ninety nine,nine thousand three hundred and six
twenty plus three,twenty three
ninety four divided by seventy two,one point three one
eighty three divided by eighteen,four point six one
twenty one divided by seventy nine,zero point two seven
fifty nine plus sixty three,one hundred and twenty two
forty six minus eighteen,twenty eight
nine plus twenty three,thirty two
fifty eight plus seventy four,one hundred and thirty two
ninety six minus fifty eight,thirty eight
sixty four divided by seventy eight,zero point eight two
ninety four minus twenty seven,sixty seven
ninety five times seventy seven,seven thousand three hundred and fifteen
forty eight plus eighty three,one hundred and thirty one
twenty two plus ninety two,one hundred and fourteen
four times thirty one,one hundred and twenty four
forty seven minus seventy one,minus twenty four
eighty six times twenty,one thousand seven hundred and twenty
forty three times forty eight,two thousand and sixty four
sixty six minus one hundred,minus thirty four
one hundred times eleven,one thousand one hundred
forty divided by fifteen,two point six seven
thirty one times thirty nine,one thousand two hundred and nine
eighty five times forty one,three thousand four hundred and eighty five
fifty nine divided by fifty four,one point zero nine
ninety five divided by ninety three,one point zero two
seventy nine minus seventy five,four
twenty two minus eleven,eleven
ninety three plus sixty two,one hundred and fifty five
seventy three divided by thirty eight,one point nine two
thirty eight divided by ninety,zero point four two
fifty nine plus eighty six,one hundred and forty five
forty three minus twenty,twenty three
eight divided by two,four
sixty four divided by sixty one,one point zero five
seventy seven divided by thirty six,two point one four
thirty four divided by forty two,zero point eight one
thirty seven plus sixty,ninety seven
fourteen times seventy two,one thousand and eight
eight minus two,six
fifty one plus forty one,ninety two
seventy two times twenty nine,two thousand and eighty eight
seven minus fifty seven,minus fifty
seventy minus seventy three,minus three
twenty five divided by eight,three point one two
thirty five divided by sixty nine,zero point five one
eighty four divided by eighty eight,zero point nine five
forty nine plus twenty three,seventy two
one hundred plus sixty two,one hundred and sixty two
thirteen divided by sixty nine,zero point one nine
forty nine plus sixty six,one hundred and fifteen
thirty nine divided by fifty six,zero point seven
fifty six divided by thirty four,one point six five
eighty times eight,six hundred and forty
seventy seven plus one hundred,one hundred and seventy seven
seventy two plus sixty seven,one hundred and thirty nine
forty four minus seventy seven,minus thirty three
two divided by sixty seven,zero point zero three
